SERIE,FAMILIA,FORMATO,ACABADO,PIEZAS_POR_CAJA,m2_POR_CAJA,KG_POR_CAJA,CAJAS_POR_PALET,m2_POR_PALET,KG_POR_PALET
Genérica Gres,Pavimento Gres Pasta Roja,33.3x33.3,Mate - Estándar,14,1.55,27.05,46,71.3,1260
Genérica Gres,Pavimento Gres Pasta Roja,33.3x33.3,Mate - ESP,10,1.11,23,54,59.94,1255
Genérica Gres,Pavimento Gres Pasta Roja,19x57,Mate - Estándar,13,1.41,26.5,48,67.68,1235
Genérica Gres,Pavimento Gres Pasta Roja,20x60,Mate - Estándar,14,1.68,28.5,40,67.2,1170
Genérica Gres,Pavimento Gres Pasta Roja,45x45,Mate - Estándar,8,1.62,27,52,84.24,1500
Genérica Roja,Revestimiento Pasta Roja,10x10,Mate - Estándar,50,0.5,28,200,100,1400
Genérica Roja,Revestimiento Pasta Roja,15x15,Mate - Estándar,44,1,30.55,126,126,1345
Genérica Roja,Revestimiento Pasta Roja,10x20,Mate - Estándar,50,1,12.92,96,96,1256
Genérica Roja,Revestimiento Pasta Roja,20x20,Mate - Estándar,35,1.4,17.65,90,126,1589
Genérica Roja,Revestimiento Pasta Roja,20x50,Mate - Estándar,15,1.5,21.86,48,72,1065
Genérica Roja,Revestimiento Pasta Roja,20x60,Mate - Estándar,12,1.44,21.45,48,69.12,1045
Genérica Roja,Revestimiento Pasta Roja,25x40,Mate - Estándar,15,1.5,21.54,60,90,1310
Genérica Roja,Revestimiento Pasta Roja,25x50,Mate - Estándar,12,1.5,21.9,56,84,1226
Genérica Roja,Revestimiento Pasta Roja,30x60,Mate - Estándar,8,1.44,21.2,60,86.4,1290
Genérica Roja,Revestimiento Pasta Roja,25x80,Mate - Estándar,6,1.2,23.02,64,76.8,1475
Genérica Blanca,Revestimiento Pasta Blanca,30x60,Mate - XS,9,1.62,20,60,97.2,1200
Genérica Blanca,Revestimiento Pasta Blanca,30x60,Brillo - RC,9,1.62,24,48,77.76,1170
Genérica Blanca,Revestimiento Pasta Blanca,30x60,Mate - RC Relieve,8,1.44,24,48,69.12,1114
Genérica Blanca,Revestimiento Pasta Blanca,30x60,Mate - XS RC Relieve,9,1.62,20,60,97.2,1240
Genérica Blanca,Revestimiento Pasta Blanca,30x90,Brillo - RC,5,1.35,22,63,85.05,1294
Genérica Blanca,Revestimiento Pasta Blanca,30x90,Mate - RC Relieve,4,1.08,22,63,68.04,1219
Genérica Blanca,Revestimiento Pasta Blanca,30x90,Mate - XS RC Fino,6,1.62,19.5,63,102.06,1240
Genérica Blanca,Revestimiento Pasta Blanca,30x90,Mate - XS RC Relieve,5,1.35,19,63,85.05,1210
Genérica Blanca,Revestimiento Pasta Blanca,40x120,Mate - XS RC Base,5,2.4,30,20,48,609
Genérica Blanca,Revestimiento Pasta Blanca,40x120,Mate - XS RC Base,4,1.92,28,20,38.4,555
Genérica Porcelánico,Porcelánico,30x60,Mate - SL,8,1.44,30,40,57.6,1080
Genérica Porcelánico,Porcelánico,30x60,Brillo - SL RC,8,1.44,27,40,57.6,1140
Genérica Porcelánico,Porcelánico,60x60,Mate - SL,4,1.44,30,32,46.08,950
Genérica Porcelánico,Porcelánico,60x60,Brillo - RC 20MM,2,0.72,32,32,23.04,1024
Genérica Porcelánico,Porcelánico,60x60,Brillo - SL RC,4,1.44,27,32,46.08,950
Genérica Porcelánico,Porcelánico,60x60,Mate - XS,5,1.8,28,32,57.6,911
Genérica Porcelánico,Porcelánico,60x60,Brillo - XS RC,5,1.8,28,32,57.6,911
Genérica Porcelánico,Porcelánico,75x75,Brillo - SL RC,2,1.125,23.5,48,54,1160
Genérica Porcelánico,Porcelánico,80x80,Brillo - RC 20MM,1,0.64,27.5,48,30.72,1320
Genérica Porcelánico,Porcelánico,22.5x90,Mate - SL,6,1.215,22.5,60,73.2,1353
Genérica Porcelánico,Porcelánico,90x90,Brillo - SL RC,2,1.62,32.5,30,46.6,1035
Genérica Porcelánico,Porcelánico,100x100,Brillo - RC Pulido,2,2,52.35,28,56,1466
Genérica Porcelánico,Porcelánico,20x120,Brillo - SL RC 5PZ,5,1.2,23.5,45,54,1075
Genérica Porcelánico,Porcelánico,23x120,Mate - SL,5,1.38,27,45,62.1,1270
Genérica Porcelánico,Porcelánico,60x120,Brillo - SL RC,2,1.44,28,36,51.84,1062
Genérica Porcelánico,Porcelánico,60x120,Brillo - RC Pulido,2,1.44,34,32,46.08,960
Genérica Porcelánico,Porcelánico,120x120,Brillo - RC Pulido,1,1.44,39,36,51.84,1250
Genérica Porcelánico,Porcelánico,120x120,Brillo - SL RC,1,1.44,30.13,40,57.6,1265
Genérica Espesorado,Espesorado,120x260,Mate - RC Absolut,1,3.12,43.8,24,74.88,1171
Genérica Espesorado,Espesorado,120x260,Brillo - RC Absolut Pulido,1,3.12,43.57,20,62.4,972
